platform,handle,group_label,source_type,is_verified,followers_estimate,is_active,agenda_tag,official_score,priority_score,selection_status,notes
telegram,tg_regime_supporter_21,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_22,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_23,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_24,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_25,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_26,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_27,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_28,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_29,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_regime_supporter_30,regime_supporter,person,unknown,0,unknown,pro_regime,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_01,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_02,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_03,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_04,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_05,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_06,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_07,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_08,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_09,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_10,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_11,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_12,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_13,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_14,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_15,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_16,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_17,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_18,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_19,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_20,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_21,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_22,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_23,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_24,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_25,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_26,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_27,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_28,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_29,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
x,x_opposition_30,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_01,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_02,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_03,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_04,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_05,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_06,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_07,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_08,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_09,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_10,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_11,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_12,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_13,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_14,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_15,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_16,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_17,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_18,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_19,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_20,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_21,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_22,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_23,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_24,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_25,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_26,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_27,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_28,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_29,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
telegram,tg_opposition_30,opposition,person,unknown,0,unknown,opposition,50,0,shortlist_pending,fill real Iranian verified active account/channel
